generation,bestFit,avgFit,worstFit
1,103.542679137328,169.18400659289867,244.43328828077063
2,94.48564014276636,162.09204799416068,221.6987264671952
3,84.09267613208412,155.66858833602646,211.11056645550707
4,78.19101430515992,149.75581025063926,197.5043205076862
5,71.53226347690314,144.37744883620098,190.62137914150875
6,65.49156038603547,139.48783967663562,192.05322586864108
7,61.34440832601784,134.69583083485585,180.107406992435
8,55.78511669198543,130.24068735731782,179.63496148241578
9,52.52316617078798,125.9774889744246,166.53967983239443
10,49.08588265819279,122.00417263252484,166.96572813556125
11,47.03152763527687,118.33501471464066,164.39714397764084
12,43.935145778594446,114.85220573320298,160.3079613576633
13,40.27086704488433,111.58218174487186,161.08570229074786
14,38.34127550701829,108.5518322291325,160.18072651592757
15,36.68181176079181,105.69879149987332,156.08636800282653
16,34.98774917883376,102.96062705624134,150.57835870928312
17,33.17053321658485,100.34535414311226,150.13070514808354
18,31.70324800706258,97.8660059402416,146.47494224256118
19,30.415567557865113,95.53842737906022,149.36938967136334
20,28.480640417179437,93.32251233811067,150.21525627617794
21,27.7545618980532,91.21681344888799,145.3608572434987
22,26.95446578425997,89.24010868663784,143.40955774889568
23,26.173864398902534,87.3839779824379,143.9416299814478
24,25.629620804101894,85.6031791858714,139.47298427690416
25,24.829802103077174,83.91356296698191,141.73981685898636
26,24.523071417521297,82.2995455949609,139.75271723664906
27,23.484369779610365,80.76346899110023,141.9328349340982
28,22.87072565709219,79.32190538171771,135.97357184177415
29,22.196340132412118,77.90835532952411,133.73844007375035
30,21.386171618798308,76.56478579258822,135.01566354036657
31,21.055736101787332,75.31207929576888,141.90229573545713
32,20.395996119409737,74.11468659758584,132.83375261156908
33,20.182025616399336,72.96281413238094,132.02984484720966
34,19.709669516042894,71.84065126040272,131.44926479827257
35,19.295633474141493,70.77564747614639,136.59869707845485
36,18.829683035694888,69.75472301610392,137.9341617727191
37,18.2850422442218,68.75587570016653,126.07533911863625
38,18.10286936560412,67.822986714324,134.84181230016
39,17.21626606375974,66.92093288041778,137.39498437545777
40,16.892626490742355,66.041802563685,133.2380389113355
41,16.72710224198476,65.19229259821292,137.34480591456818
42,16.358202092105675,64.39525312957161,134.44956928446064
43,16.117865544428938,63.60858751128674,132.79906430112828
44,15.839706089420595,62.864195081432996,129.93755456176527
45,15.64920660149193,62.15333294586951,133.10385757399249
46,15.454195289961138,61.45655909788194,135.58060680482052
47,15.120301508304332,60.769364567943384,128.0158590966145
48,14.895191862910515,60.10018097501165,125.89327586454952
49,14.667944425636163,59.446118104594305,123.90436287750339
50,14.165279798016732,58.81267087658167,129.364628543663
51,13.901682928225991,58.21392319241949,130.10746490328222
52,13.774745320317908,57.62943018767174,130.28354866906608
53,13.736691081372163,57.072087470895944,128.05215199072862
54,13.556798970608662,56.531771602702385,132.41651331627253
55,13.3438548703038,56.00417738721281,130.34809443145068
56,13.210886548016733,55.48489169713128,125.0339305873192
57,12.957414087930976,54.98029031509206,124.0917896067761
58,12.611270406073297,54.49334407724708,132.66480602571974
59,12.49414257579608,54.011158475523686,134.10604100969724
60,12.42776388311659,53.548580703105344,131.59306289180196
61,12.376490567298628,53.093896836974395,121.50247201763321
62,12.23242593048036,52.65234908436672,128.83380498902582
63,12.041545041209865,52.22525774768458,124.3399174510141
64,11.801426628541316,51.809376412430524,127.69134634572997
65,11.680652707478806,51.400905865364855,125.72287176450635
66,11.514711573661922,50.99882387393452,125.48933078368205
67,11.414571693081596,50.61595475986412,135.84282124597624
68,11.357202204285693,50.236376664466206,130.38236668791262
69,11.22804010225827,49.86159319047757,126.57938025382623
70,11.108069027736377,49.49973601558933,130.89581886105532
71,10.866488254987514,49.143396302506034,124.82876773699542
72,10.821147957935239,48.793038329162286,128.7429979592034
73,10.821147957935239,48.44445691385269,125.89412921371795
74,10.674841236184513,48.112713924123554,128.3579816878929
75,10.548120894956444,47.783896481769,132.49199781112935
76,10.440286301313868,47.45571895434152,123.27902012964282
77,10.362301061311415,47.132762163686515,131.00587078097985
78,10.28263344839499,46.840866126054465,132.9724466204537
79,10.157494184244308,46.546835889196885,134.43564446984004
80,10.104449154227488,46.257619746114294,128.2555198361654
81,9.704164450161803,45.96329580887266,126.3819923532653
82,9.498414396163202,45.68044951057107,127.37192987355677
83,9.402776114452852,45.40607889464827,131.6997679624321
84,9.296913383528018,45.144181255353566,128.02282073555156
85,9.127612296913727,44.888905407849485,126.1560247861833
86,8.988243458955452,44.62579556281356,125.70117679818651
87,8.8776489954647,44.36726213791212,130.05912927139892
88,8.85670574179788,44.12330012860183,129.64269930340683
89,8.726849555826334,43.879797440995155,121.496014318345
90,8.582582027298173,43.63088634640723,126.05230173160649
91,8.114443023104887,43.38019711575335,126.80539264591152
92,8.114443023104887,43.150124845473016,121.89284339516406
93,8.025922217992292,42.916745951401865,130.31674876764308
94,8.009588536189451,42.694911295695235,121.99745320241405
95,7.920709548395114,42.458898300078545,118.07399075638627
96,7.8393162958216065,42.24164282378845,131.1589036771876
97,7.669382283392299,42.020840114426925,129.7331719151741
98,7.644094384102354,41.80609373318864,127.43625351312305
99,7.448173360161482,41.594228089808055,131.8316887171367
100,7.36612333053073,41.38812535558431,130.1599008035391
