generation,bestFit,avgFit,worstFit
1,87.49974284259885,185.21720430527628,289.9840135131794
2,62.59664520961363,140.6052668633588,223.116386062835
3,49.66723960142032,131.7095240582362,281.24291981783284
4,40.12297946940267,135.12818977229736,281.6732815774394
5,36.07473605860584,144.2674192669736,290.26284179189975
6,33.47164078882253,156.6206587647508,290.1766710884843
7,32.05629298592421,170.00772643135628,293.7185894599166
8,29.98812795466431,180.98839081110995,296.1376292009356
9,28.10133123797799,189.78002432865722,296.3921252180162
10,27.494573394005204,198.27338380317207,297.42387651025024
11,26.734898508995233,202.7044560197832,298.09127086787885
12,26.068754110588007,208.60766520846872,296.70341339687366
13,25.800872846963248,212.68105756740286,296.3846486592159
14,25.4808322643744,215.9435413465477,297.52625696995534
15,24.77482069538017,218.02206871549086,294.51789470474364
16,24.484554360234245,216.09529133292205,295.21228369759143
17,24.303032333982614,216.43463832627202,294.6545802840192
18,23.86768610092939,218.99228455465928,292.296954578029
19,23.521606293004318,218.79052118112034,297.6474326657912
20,23.339047235416174,220.26345900238186,295.0948441548848
21,22.870894509171915,226.09082628798512,297.59750263316596
22,22.77551865538586,227.19589438397026,297.9704088368379
23,22.619009078344448,226.44579270274295,297.6500370733195
24,22.521352068711703,223.9686921760229,297.55443396291616
25,22.399788396554474,221.24751895324354,293.27629633449254
26,22.286083634821534,229.14124964118855,299.2329708080602
27,22.22461148564612,231.0337071583982,299.4139520780961
28,22.17557144703019,231.44819359291142,297.8321703414005
29,22.105703909234116,227.81701313138245,295.77396412593276
30,22.05888826295365,231.94609938622963,298.73078661319363
31,21.95671440929498,227.17304618230912,294.5240162933581
32,21.674742302512737,227.8145720288251,293.3732705331188
33,21.632872080112097,228.7136071356568,294.6084923707894
34,21.590818424879874,233.04005122644534,296.75516245998296
35,21.437618199238948,229.98825978345798,295.6866738537557
36,21.333933631377302,228.49114142060304,294.36429016802737
37,21.253591388028024,229.02923621281207,291.4397248465379
38,21.188399394045135,231.00918073364,294.9453373751493
39,21.11990600932073,226.73971279868232,297.05145530507036
40,21.02449267515551,233.56369618687464,298.2016323916356
41,20.98251494787697,230.90400740525817,295.7428880421039
42,20.873513569001776,234.67032630769305,299.3064732473767
43,20.832700169907167,237.5957312961621,297.13896798625865
44,20.79782078369367,234.68072291288135,298.4347077402896
45,20.736087281958454,239.2335279495287,298.50636861967473
46,20.691321093422964,237.95180210284943,299.3601018320384
47,20.648083394515538,236.13248286477008,297.11775050824536
48,20.554227176397717,233.13521117485234,291.659886469943
49,20.53415208596416,233.92258469440603,296.15752668347176
50,20.50657348002377,234.70650726944197,297.50410503592326
51,20.43929882979619,237.47433429273727,298.53647939186936
52,20.402607015394235,235.8964748798516,294.3046306657268
53,20.08003354800608,238.7208831025118,300.38140499033506
54,20.053350988988843,242.04946823955206,297.7356041365466
55,19.971586932248133,245.7067988323851,299.81270069386323
56,19.93452336091489,239.18313768751486,295.18788034520895
57,19.91139920641615,241.5928914707211,294.3586213660189
58,19.889182008974956,237.94747650808227,294.93212438998034
59,19.853643312549355,239.0514497543149,296.2253402518863
60,19.83516212226761,241.3513864242986,295.8055547104112
61,19.79054047220233,246.21829512858346,306.8759026829511
62,19.72197711368685,246.97960574398343,296.2974830158398
63,19.705976232067474,247.84090011429186,301.44089456821797
64,19.678330035280187,242.03814531939412,293.93642644125697
65,19.657984164742718,241.69609310137122,297.026197603988
66,19.634628414800837,240.5585622294303,291.06403152006317
67,19.617602765666586,244.3368087547844,295.9516651429088
68,19.587331152430192,242.4512425815047,295.58518975999124
69,19.563168580033775,246.86896543367783,300.69396485677953
70,19.540212972570085,243.83114564852906,293.42667891653997
71,19.522096268410724,247.5782310715698,296.998486962247
72,19.496873068752965,248.9270898626606,300.27020545759626
73,19.46558849846072,249.70344195105682,298.2342644745522
74,19.450735882207322,246.99215325031093,301.6217363922903
75,19.434652018752427,246.24566968176993,297.3501219823795
76,19.41881466504917,246.78690722577383,294.97258700867354
77,19.40789402097375,243.10254387717706,297.0514713749501
78,19.394599372729882,250.52550306178622,299.0029416574625
79,19.38325927477772,247.51309427555915,297.3803350085622
80,19.37474395184667,249.8303864801299,299.2482548225791
81,19.36611489538758,246.6833155398185,294.9139979656338
82,19.358543289530004,248.13116242351214,297.16545302381894
