generation,bestFit,avgFit,worstFit
1,86.50527054603006,185.31894062656036,288.1487069559042
2,86.50527054603006,250.24086988559537,307.7900447482925
3,86.50527054603006,265.8396635440262,308.4995454272206
4,86.50221057808899,272.3969461353267,306.7218433603124
5,86.49777373320539,272.6217418179361,302.5170283879966
6,86.49337355485655,273.6712580356723,307.3079007647762
7,86.48901012754747,276.25157981832706,307.3138386254125
8,86.48468353507856,276.35572738058744,307.721178457954
9,86.48039386054398,274.19726151688496,306.1795772889575
10,86.4761411863301,276.410361117126,304.952333287964
11,86.47192559411383,272.2479869080084,303.3844744599759
12,86.46774716486104,272.34766469400427,306.50205058800395
13,86.4636059788251,273.8585782570754,303.8025400259613
14,86.45950211554515,273.60409049198984,305.3142842223877
15,86.45543565384479,278.1149702340893,308.4833283993503
16,86.45140667183031,276.5629032590444,305.84867623385014
17,86.44741524688938,272.4192021900015,305.94783424805513
18,86.44346145568939,274.8796315684789,306.3818738805776
19,86.43954537417613,274.5586241237092,306.21146656843297
20,86.4356670775722,274.31067198553075,304.665636032171
21,86.4318266403756,273.9819763214352,304.76650207880465
22,86.42802413635826,271.00334476736464,305.1493790267149
23,86.42425963856466,274.6122131729423,305.9507470249695
24,86.42053321931039,273.6409869730084,306.31051182658064
25,86.41684495018075,275.23833166989084,306.1983355774767
26,86.41319490202933,272.22101796195176,307.08769358796127
27,86.40958314497675,275.38361375385927,303.46112565905526
28,86.40600974840919,272.2361037437661,307.13511745012903
29,86.40247478097709,273.9548974830455,305.4308016944908
30,86.39897831059379,274.0145385823419,305.22188118560814
31,86.39552040443434,274.5243120627207,307.71458393631343
32,86.39210112893399,275.82018182199437,305.5461030808866
33,86.38872054978714,275.80135757941576,304.2259098144396
34,86.38537873194583,272.24501937055913,305.5132058919544
35,86.38207573961871,271.34121636064845,305.36122717369904
36,86.37881163626963,274.2739172543592,305.9449526426837
37,86.3755864846165,274.003055166645,307.6278309687499
38,86.37240034663007,276.92230916724947,307.0860534921284
39,86.36925328353269,275.7523318127788,305.5904212088731
40,86.3661453557971,275.3475623605473,306.0065129556175
41,86.36307662314542,273.681929701368,304.19269645418296
42,86.36004714454778,277.9401275058337,305.86518522286116
43,86.35705697822137,275.6826402212483,305.7492899710976
44,86.35410618162913,274.05696715777697,304.9830480985941
45,86.35119481147885,276.6089981414715,306.02661552534994
46,86.34832292372188,270.4735588469532,305.55111784198556
47,86.34549057355211,273.0063424353756,305.17577576529106
48,86.342697815405,274.79132926690977,305.3689117591654
49,86.33994470295637,274.3728487732626,306.7401539792847
50,86.33723128912148,273.51840864330046,305.61237210138614
51,86.33455762605395,273.0102963541516,304.49332254215864
52,86.33192376514475,276.2716370699441,304.2798823065986
53,86.32932975702126,275.14439414817946,306.71690444265465
54,86.32677565154619,275.66394864556673,307.3799147008613
55,86.32426149781675,276.14848700445765,304.37499526072156
56,86.32178734416358,274.9530476853893,307.3350857845866
57,86.31935323814986,273.2520657978164,304.1126153941813
58,86.3169592265704,274.8900954373542,305.6842276169781
59,86.31460535545075,274.8718526023369,305.96940701669865
60,86.31229167004626,275.22029199728667,306.8132357883194
61,86.31001821484124,272.1705710241165,304.30118957370195
62,86.30778503354807,273.1250047114278,303.17204480504716
63,86.30559216910642,272.01858489757745,305.90516211067853
64,86.30343966368233,273.01783258149965,305.4501074963834
65,86.30132755866744,274.503202764327,305.3048235094495
66,86.29925589467823,274.2788885577034,304.89535837134287
67,86.29722471155516,276.43050631390355,304.9732173307427
68,86.29523404836192,274.9141702494066,304.4360881790591
69,86.29328394338474,274.6726922947564,304.16311831646493
70,86.29137443413151,275.0591374932343,307.2409719049857
71,86.28950555733121,277.71915529993265,306.2728353711958
