generation,bestFit,avgFit,worstFit
1,110.53244388965996,185.56443353634631,268.07573398765027
2,110.19645070657717,215.40823580066234,276.0319438231119
3,109.55935514302124,222.44677471948515,282.0290547067222
4,109.33388459105804,226.21768415002555,280.2819831704352
5,108.5691454423008,230.3011427552593,287.57102612757484
6,108.56755063047939,225.36971928299855,280.89045484804484
7,108.48220664477145,229.56059368429734,284.62595962689403
8,107.34956307511148,229.65215252335648,284.175849157537
9,107.03228708938623,229.35470329597723,284.0646181267279
10,105.48199381534522,223.728161062226,278.1918511623662
11,105.23769440121941,228.28264272397385,283.62969557854865
12,105.1479289914672,234.01215585807242,289.7782998007121
13,104.4310465514038,233.49995104530814,286.5701238256999
14,104.40270486108535,229.29415229954122,285.704528178343
15,103.89792077445773,233.29139949096094,285.26245219492006
16,103.76207149146897,229.26430296337642,279.4647448437319
17,103.76028381037489,233.70286797515675,286.976077078469
18,103.7584984789395,232.56624757872538,284.8517390466264
19,103.74666605838154,228.9676174419684,279.9945413184936
20,102.89543692911874,234.0034531523321,284.19567671087117
21,102.89365865093424,232.29405256514949,287.08919214974924
22,102.89188272525521,233.09394077570045,284.1616851564434
23,102.89010915279101,227.509653952308,285.3944467833869
24,102.88833793425013,231.269499823769,285.22394822227125
25,102.83164882106125,230.51805810801034,285.6946213923614
26,102.82988231248875,233.21564292038693,287.58164899077997
27,102.82811815995947,231.67267376708725,283.8345032048157
28,102.82635636417821,231.16611739931597,285.1945900223175
29,102.8245969258488,234.01945680196744,285.87263924818774
30,102.82283984567425,230.0640071687487,280.93985984464837
31,102.82108512435659,227.81626479445697,285.49994686335543
32,102.81933276259689,233.72324649370654,285.69475423624675
33,102.81758276109535,234.82852787873884,288.4538656194876
34,102.81583512055128,239.68746661893945,291.09654448874113
35,102.81408984166299,236.09900709113214,283.6583250022813
36,102.81234692512794,233.95928926039684,286.4128334095297
37,102.71663616519554,232.397561616696,282.857848908523
38,102.71416547939405,235.06782393227243,287.9964448157842
39,102.71169773137811,233.06369374237278,286.3949704271397
40,102.70923292212306,232.57307445484028,282.97486712224855
41,102.70677105260309,229.3656063922017,284.76533247758493
42,102.46566906982842,234.32393809209532,285.59392930191274
43,102.46321308269657,233.58659605373813,286.904517742432
44,102.46076003821548,231.04204085204034,281.72856975038417
45,101.97069385735037,227.51487178633582,280.267559453088
46,101.96897460250302,230.28948829308487,284.40339831151124
47,101.96725771761966,230.56234579042572,285.1679084531459
48,101.96554320338664,231.43883665028355,283.2200081534821
49,101.9638310604894,230.34774169112447,282.96527237024696
50,101.9621212896124,230.62100661939942,282.99853248937603
51,101.96041389143922,234.61369567452874,288.7176017478541
52,101.95870886665251,238.6660053839946,288.3831945700765
53,101.95700621593397,236.50732500309354,288.02234025782485
54,101.25292707522362,237.02745918225074,288.3794195641858
55,101.25122917468288,233.99825250130587,285.36243236863044
56,101.24953365024989,231.63642400810758,283.648399336054
57,101.24784050260266,228.91414485106492,283.234707269277
58,101.24614973241827,231.5260400846796,286.913466665579
59,101.24446134037288,236.2262803349685,288.6584096498579
60,101.24277532714171,237.6978212444211,287.1374219861729
61,101.24109169339903,236.5214487639917,288.2549531614689
62,101.23941043981822,232.000624177524,286.3563369869414
63,101.07817829254627,226.8887217616838,280.34489315690746
64,101.07650180130558,230.2438878701357,282.76347712978463
65,101.07482769224129,232.8591142343689,285.896630243893
66,100.72128584059116,235.08695795969115,286.7613777923956
67,100.71961649788764,234.7881873616223,286.4371381003051
68,100.71794953936663,231.74746654422358,284.9013466630141
69,100.71628496569504,231.89225234946665,284.10607150612924
70,100.71462277753876,232.9676293508445,285.5617218492717
71,100.71296297556277,225.40102936729608,281.10427371141765
72,100.6319605970075,229.55060463696606,280.56871526228105
73,100.6303055693834,226.55402643412916,279.65241719238503
74,100.62865292992896,230.27331687808743,286.02786615241996
75,100.30880583772934,228.47252712953008,282.94236367370127
76,100.30715797659715,232.25444000064965,280.3508214066672
77,100.30551250561568,231.50365231703486,285.0007304027333
78,100.30386942544334,232.60932601641855,284.65902938051215
79,100.3022287367377,233.6375295478219,281.3886919069227
80,100.12126597927404,234.0410691809656,286.8749043752775
81,100.11963007547065,236.0874820789897,287.6674142694236
82,100.11799656510094,235.34980033415565,285.88643517613974
83,100.1163654488187,233.8857056209852,285.132884344965
84,100.1147367272768,238.3874948803408,288.40911058403134
85,100.1131104011272,229.2602134284081,284.7118373052875
86,100.11148647102088,229.54099725532953,283.92121627930567
87,100.10986493760785,231.3237001213714,285.53024417653455
88,100.1082458015373,231.5857740641208,285.3924814599941
89,100.10662906345735,230.9270865977965,283.16404535278
90,100.10501472401529,226.92475930619008,282.02163566758094
91,100.10340278385743,228.33938345459393,284.4265589260927
92,100.10179324362912,226.56047049663476,283.294594267206
93,100.10018610397483,229.170457296923,282.3376091927797
94,100.09858136553808,234.0261074585605,287.4682243977173
95,100.09697902896137,228.89906359145456,280.74996004177325
96,99.96666787380951,228.44182663800035,284.6373978947614
97,99.96507034287693,229.5069053181452,279.34044061793344
98,99.85988202920528,228.5386299077438,282.1165020263738
99,99.85828930647578,229.65712740370046,283.6684720836018
100,99.85669898880514,234.1039936965898,285.52348314999665
