generation,bestFit,avgFit,worstFit
1,109.60400562174634,186.00021538712846,269.15086669486635
2,107.65355431235349,247.85408081942265,293.7848905449236
3,107.64401214369954,259.04101300760533,295.42285862788697
4,107.06086444017842,267.7314101292027,298.3261474984641
5,107.0584935739138,265.03485241539113,297.6766453485163
6,107.05543868420241,265.3273785382149,296.9173468639412
7,107.05228203204963,267.1863341558835,300.05486966283286
8,107.04912786586547,263.6288800755318,297.0789246743136
9,107.04597618679324,266.65285909678397,300.288626266131
10,106.84360643986095,270.2103509671842,300.9598335712331
11,106.84057169390057,267.8459871179313,297.7538629460008
12,106.83753993149794,266.3180209436911,297.7327160144028
13,106.83451115372557,268.24239799660825,299.89203791736486
14,106.46938278153542,266.9507972477704,296.94351728995474
15,106.46602764917576,265.9226865191524,299.18126057298855
16,106.46267615947846,266.0294983629646,298.11638576311935
17,106.4593283136292,268.8346104456266,298.5753542779341
18,106.45598411281239,272.15177822492495,300.8236673017012
19,106.45264355821114,263.4798488881554,297.1042912561982
20,106.44930665100712,264.5820678031495,296.6234622208103
21,106.44597339238076,268.42604442253025,299.16040341888544
22,106.44264378351116,264.0873621512249,295.2451086858794
23,106.43931782557608,269.4450225697237,300.3157500422987
24,106.4359955197519,262.94902860915056,296.14206913460026
25,106.43267686721381,268.00979338364357,296.98964962145806
26,106.42936186913558,264.2671020821254,294.84585306465794
27,106.42605052668954,263.95139022404794,297.68513680270433
28,106.42274284104698,269.86818685239757,298.3102307586357
29,106.4194388133776,270.79928768361845,298.2850382001315
30,106.41613844484985,271.6549698750173,300.18078894389305
31,106.41284173663091,270.07633222998294,298.88249322713625
32,106.40954868988653,270.5908176653338,296.1412017340944
33,106.40625930578125,269.3140784314444,296.90072785024626
34,106.40297358547816,270.07143652318007,300.01577442408814
35,106.39969153013911,267.870457041488,298.3602807895775
36,106.39641314092454,268.1905268125604,298.9584970583589
37,106.3931384189936,267.8478842630761,298.68362467388596
38,106.38986736550412,265.62132059678044,296.83369083316313
39,106.38659998161256,271.68554560080304,300.043680229037
40,106.38333626847407,268.89201472739296,300.07557873367426
41,106.38007622724245,265.78349664754626,296.65086422389487
42,106.3768198590702,266.8915802690421,298.357507417754
43,106.37356716510845,267.8999491233219,299.5276927148116
44,106.37031814650703,269.85298550158035,299.4860189463927
45,106.3670728044144,265.9676642463799,296.64402079164614
46,106.36383113997763,268.64156548322984,298.8016008907861
47,106.36059315434258,266.5549536324375,299.2061965036636
48,106.35735884865375,263.92048631925644,294.67292273499606
49,106.35412822405415,266.99165918277373,296.68514565204947
50,106.35090128168562,270.27464623476845,299.11702528946716
51,106.34767802268861,269.74337470391777,300.32884822149657
52,106.34445844820222,271.97494169535156,301.9065575558555
53,106.34124255936425,269.34199183323864,298.6940540521864
54,106.33803035731106,266.91952250385003,295.81110142546714
55,106.3348218431778,267.19932283734886,298.0398839920748
56,106.3316167034287,265.8368264080211,296.0029008684554
57,106.32818262075146,269.2830165805073,297.325996807401
58,106.32475139963984,271.82234842057,297.8916333750027
59,106.32132335592087,269.9862939705286,299.63005977281387
60,106.31789849075079,266.09256441616446,296.94386625863
61,106.31447680528495,269.75457553131685,299.76306446447137
62,106.31105830067739,267.12307660860614,296.7910956379396
63,106.3076429780811,269.62371770123985,300.240929719711
64,106.30423083864804,264.6870651409157,297.51419981643244
65,106.30082188352893,269.2575197778505,297.7890838207715
66,106.29741611387337,267.4511650684075,297.27942540716793
67,106.29401353082991,269.24953879534945,299.3236861297548
68,106.29061413554595,267.1152411613585,297.5027576918785
69,106.28721792916774,267.47500642499296,298.4060976371094
70,106.28382491284046,267.3397770089833,296.93212201353106
71,106.2804350877081,267.67437216293183,298.264210457317
72,106.27704845491364,268.1950326593116,298.5851354952653
73,106.27366501559877,265.7597586442718,295.0405648810509
74,106.2702847709042,269.41326045871114,299.6252810878053
75,106.26690772196945,266.25660038659566,295.8480859391253
76,106.26353386993294,268.2729491381368,298.0132705516608
77,106.26016321593195,267.58244127361974,297.5115928822321
78,106.25679576110264,265.8209954473643,296.7667421953083
79,106.25343150658004,270.359338237763,298.7628740899366
80,106.25007045349803,266.51960885087703,298.2479276363322
81,106.24671260298945,265.8838717034601,297.3766549017851
82,106.24335795618589,267.2549568406143,299.38963941652605
83,106.24000651421788,270.9814032773421,298.0405891271197
84,106.23665827821483,267.92856858437597,299.3674394358343
85,106.23331324930503,269.5749381326883,298.76365543544836
86,106.22997142861558,266.02980925941296,298.49099874880875
87,106.22663281727252,268.14133279831253,298.7858514811638
88,106.2232974164007,265.5287019078635,298.6307870390339
89,106.21996522712388,266.87624638779903,295.93846688176114
90,106.2166362505647,265.8756621141495,298.59481327649434
91,106.21302797129219,265.7972672789462,297.75018912459467
92,106.20956774720489,267.4252161469432,296.4979371929661
93,106.20611107912832,267.7022146502498,296.980065517805
94,106.20263651556296,268.9918331518436,298.33929257948006
95,106.19920296357172,267.0895721376836,298.79973789977424
96,106.1957728910649,265.64800284602165,297.313094729335
97,106.19234629923352,267.56107713931937,298.91692045623836
98,106.1889231892673,268.7025545888536,298.1778028489099
99,106.1855035623547,267.855248302062,298.3414966447657
100,106.18208741968293,266.93971582669354,297.7895810022996
